time_s;speed_kmh;soc_%;P_bar
154.100000;0.000000;97.284752;144.096743
154.200000;0.000000;97.284752;144.095650
154.300000;0.000000;97.284752;144.094556
154.400000;0.000000;97.284752;144.093463
154.500000;0.000000;97.284752;144.092370
154.600000;0.000000;97.284752;144.091276
154.700000;0.000000;97.284752;144.090183
154.800000;0.000000;97.284752;144.089089
154.900000;0.000000;97.284752;144.087996
155.000000;0.000000;97.284752;144.086903
155.100000;0.000000;97.284752;144.085809
155.200000;0.000000;97.284752;144.084716
155.300000;0.000000;97.284752;144.083622
155.400000;0.000000;97.284752;144.082529
155.500000;0.000000;97.284752;144.081435
155.600000;0.000000;97.284752;144.080342
155.700000;0.000000;97.284752;144.079248
155.800000;0.000000;97.284751;144.078155
155.900000;0.000000;97.284751;144.077061
156.000000;0.000000;97.284751;144.075968
156.100000;0.000000;97.284751;144.074874
156.200000;0.000000;97.284751;144.073780
156.300000;0.000000;97.284751;144.072687
156.400000;0.000000;97.284751;144.071593
156.500000;0.000000;97.284751;144.070500
156.600000;0.000000;97.284751;144.069406
156.700000;0.000000;97.284751;144.068312
156.800000;0.000000;97.284751;144.067219
156.900000;0.000000;97.284751;144.066125
157.000000;0.000000;97.284751;144.065031
157.100000;0.000000;97.284751;144.063937
157.200000;0.000000;97.284751;144.062844
157.300000;0.000000;97.284751;144.061750
157.400000;0.000000;97.284751;144.060656
157.500000;0.000000;97.284751;144.059562
157.600000;0.000000;97.284751;144.058469
157.700000;0.000000;97.284751;144.057375
157.800000;0.000000;97.284751;144.056281
157.900000;0.000000;97.284750;144.055187
158.000000;0.000000;97.284750;144.054093
158.100000;0.000000;97.284750;144.053000
158.200000;0.000000;97.284750;144.051906
158.300000;0.000000;97.284750;144.050812
158.400000;0.000000;97.284750;144.049718
158.500000;0.000000;97.284750;144.048624
158.600000;0.000000;97.284750;144.047530
158.700000;0.000000;97.284750;144.046436
158.800000;0.000000;97.284750;144.045342
158.900000;0.000000;97.284750;144.044248
159.000000;0.000000;97.284750;144.043154
159.100000;0.000000;97.284750;144.042061
159.200000;0.000000;97.284750;144.040967
159.300000;0.000000;97.284750;144.039873
159.400000;0.000000;97.284750;144.038779
159.500000;0.000000;97.284750;144.037684
159.600000;0.000000;97.284750;144.036590
159.700000;0.000000;97.284750;144.035496
159.800000;0.000000;97.284750;144.034402
159.900000;0.000000;97.284750;144.033308
160.000000;0.000000;97.284749;144.032214
160.100000;0.379747;97.284700;144.031120
160.200000;0.759494;97.284602;144.030026
160.300000;1.139241;97.284455;144.028932
160.400000;1.518987;97.284259;144.027838
160.500000;1.898734;97.284013;144.026744
160.600000;2.278481;97.283719;144.025649
160.700000;2.658228;97.283375;144.024555
160.800000;3.037975;97.282982;144.023461
160.900000;3.417722;97.282540;144.022367
161.000000;3.797468;97.282049;144.021273
161.100000;4.177215;97.281509;144.020178
161.200000;4.556962;97.280920;144.019084
161.300000;4.936709;97.280281;144.017990
161.400000;5.316456;97.279594;144.016896
161.500000;5.696203;97.278857;144.015801
161.600000;6.075949;97.278071;144.014707
161.700000;6.455696;97.277235;144.013613
161.800000;6.835443;97.276351;144.012518
161.900000;7.215190;97.275417;144.011424
162.000000;7.594937;97.274434;144.010330
162.100000;7.974684;97.273416;144.009235
162.200000;8.354430;97.272368;144.008141
162.300000;8.734177;97.271291;144.007047
162.400000;9.113924;97.270185;144.005952
162.500000;9.493671;97.269037;144.004858
162.600000;9.873418;97.267843;144.003763
162.700000;10.253165;97.266602;144.002669
162.800000;10.632911;97.265316;144.001574
162.900000;11.012658;97.263987;144.000480
163.000000;11.392405;97.262619;143.999385
163.100000;11.772152;97.261212;143.998291
163.200000;12.151899;97.259765;143.997196
163.300000;12.531646;97.258280;143.996102
163.400000;12.911392;97.256756;143.995007
163.500000;13.291139;97.255195;143.993913
163.600000;13.670886;97.253595;143.992818
163.700000;14.050633;97.251958;143.991724
163.800000;14.430380;97.250284;143.990629
163.900000;14.810127;97.248573;143.989535
164.000000;15.189873;97.246826;143.988440
